date;actual;prev;art
mars-19;251;233.5057337;68322520
avr-19;302;233.9592051;68322520
mai-19;302;234.3948869;68322520
juin-19;253;234.8088927;68322520
juil-19;174;227.0516983;68322520
ao–t-19;226;225.3087905;68322520
nov-18;0;-0.218971141;68907671
d‚c-18;0;-0.213004677;68907671
janv-19;1;0.453266379;68907671
f‚vr-19;1;0.460145814;68907671
mars-19;0;-0.195842232;68907671
avr-19;1;0.473981851;68907671
mai-19;1;0.762846079;68907671
juin-19;4;0.703903098;68907671
juil-19;0;-0.171066797;68907671
ao–t-19;2;0.786153858;68907671
nov-18;42;23.52886368;69028393
d‚c-18;36;21.82453497;69028393
janv-19;60;6.042605118;69028393
f‚vr-19;54;4.483859333;69028393
mars-19;38;9.981538421;69028393
avr-19;28;4.360648136;69028393
mai-19;8;3.332603973;69028393
juin-19;109;7.827902373;69028393
juil-19;47;16.63755339;69028393
ao–t-19;52;16.39497029;69028393
nov-18;267;279.632129;69028421
d‚c-18;365;279.8419347;69028421
janv-19;212;277.8336107;69028421
f‚vr-19;246;280.4695272;69028421
mars-19;296;280.8879707;69028421
avr-19;266;281.3729043;69028421
mai-19;257;281.9190013;69028421
juin-19;234;280.2316799;69028421
juil-19;240;283.1621424;69028421
ao–t-19;262;283.8376948;69028421
nov-18;56;66.77675966;69239723
d‚c-18;59;59.9639594;69239723
janv-19;41;116.7772767;69239723
f‚vr-19;61;109.4477702;69239723
mars-19;188;99.29136308;69239723
avr-19;1651;466.8289501;69239723
mai-19;613;237.2459695;69239723
juin-19;245;193.5697677;69239723
juil-19;197;79.05348086;69239723
ao–t-19;131;48.35111211;69239723
nov-18;493;302.9290588;69239730
d‚c-18;1001;741.7266114;69239730
janv-19;384;171.3131472;69239730
f‚vr-19;295;202.0682886;69239730
mars-19;280;163.1778931;69239730
avr-19;216;160.5354179;69239730
mai-19;239;178.7363496;69239730
juin-19;256;176.6970865;69239730
juil-19;233;224.0294425;69239730
ao–t-19;190;209.8620438;69239730
nov-18;58;84.01840647;69278426
d‚c-18;100;90.14214897;69278426
janv-19;78;90.04472591;69278426
f‚vr-19;71;90.03861797;69278426
mars-19;90;89.86108695;69278426
avr-19;68;85.67811585;69278426
mai-19;75;89.73397301;69278426
juin-19;72;90.79705916;69278426
juil-19;76;89.70164637;69278426
ao–t-19;64;84.01401013;69278426
nov-18;39;34.85215046;69278461
d‚c-18;63;34.9901407;69278461
janv-19;46;35.16091901;69278461
f‚vr-19;31;35.36075878;69278461
mars-19;37;35.58508721;69278461
avr-19;34;35.82860754;69278461
mai-19;38;36.0854411;69278461
juin-19;31;36.3492857;69278461
juil-19;28;32.23409503;69278461
ao–t-19;23;32.49222028;69278461
nov-18;66;84.1705988;69414961
d‚c-18;99;84.204999;69414961
janv-19;92;84.1913126;69414961
f‚vr-19;59;84.13287793;69414961
mars-19;29;68.81255452;69414961
avr-19;26;68.67757774;69414961
mai-19;19;70.06593342;69414961
juin-19;27;68.32165061;69414961
juil-19;41;70.69148382;69414961
ao–t-19;45;71.08519867;69414961
nov-18;4;-38.20110506;69418580
d‚c-18;16;-104.4801286;69418580
janv-19;4;-42.38516842;69418580
f‚vr-19;6;-39.89449726;69418580
mars-19;3;-36.00580622;69418580
avr-19;13;-79.23044361;69418580
mai-19;1;-24.2974665;69418580
juin-19;0;-16.70484518;69418580
juil-19;1;-8.16309039;69418580
ao–t-19;0;1.132305799;69418580
nov-18;24;25.0829928;69491121
d‚c-18;46;49.16810632;69491121
janv-19;28;27.92973109;69491121
f‚vr-19;32;46.04048882;69491121
mars-19;43;48.99187149;69491121
avr-19;21;21.86921748;69491121
mai-19;25;24.22138797;69491121
juin-19;17;18.32693299;69491121
juil-19;9;16.03069545;69491121
ao–t-19;6;12.22491112;69491121
nov-18;27;30.83353804;69506801
d‚c-18;44;36.36418963;69506801
janv-19;47;36.44006204;69506801
f‚vr-19;45;36.26835048;69506801
mars-19;51;38.36887448;69506801
avr-19;42;32.31290505;69506801
mai-19;30;33.07928706;69506801
juin-19;27;33.31546149;69506801
juil-19;14;33.49298387;69506801
ao–t-19;27;33.60790481;69506801
nov-18;2;2.532787649;69506815
d‚c-18;1;1.555622411;69506815
janv-19;2;2.569614385;69506815
f‚vr-19;0;1.214512721;69506815
mars-19;3;3.018300454;69506815
avr-19;2;2.546842149;69506815
mai-19;0;1.165923087;69506815
juin-19;1;1.392800503;69506815
juil-19;1;1.266253921;69506815
ao–t-19;1;1.305474433;69506815
nov-18;2;2.027594527;69506822
d‚c-18;5;4.183804986;69506822
janv-19;8;7.270917233;69506822
f‚vr-19;11;7.322629492;69506822
mars-19;9;7.370279844;69506822
avr-19;10;7.412413777;69506822
mai-19;5;4.536206622;69506822
juin-19;8;7.475228614;69506822
juil-19;6;6.195501488;69506822
ao–t-19;2;2.369345221;69506822
nov-18;2;2.148992508;69506864
d‚c-18;9;7.439720316;69506864
janv-19;11;7.348174334;69506864
f‚vr-19;5;2.761696825;69506864
mars-19;4;2.247804628;69506864
avr-19;3;2.241280495;69506864
mai-19;3;2.220480836;69506864
juin-19;1;2.185084436;69506864
juil-19;5;2.656109689;69506864
ao–t-19;4;2.071028683;69506864
nov-18;12;14.18142497;69506871
d‚c-18;18;17.97337108;69506871
janv-19;34;18.42468003;69506871
f‚vr-19;29;18.34369039;69506871
mars-19;24;18.21631672;69506871
avr-19;14;16.53145779;69506871
mai-19;12;14.01440589;69506871
juin-19;12;13.7683186;69506871
juil-19;8;10.96941962;69506871
ao–t-19;8;10.92208043;69506871
nov-18;0;-0.571084538;69507382
d‚c-18;1;-0.644166272;69507382
janv-19;3;-1.748937607;69507382
f‚vr-19;3;-1.431489976;69507382
mars-19;3;-1.473508964;69507382
avr-19;6;1.511341069;69507382
mai-19;10;4.841850203;69507382
juin-19;8;1.863643662;69507382
juil-19;6;1.507330359;69507382
ao–t-19;1;-1.294239282;69507382
nov-18;0;1.481084738;69507424
d‚c-18;0;1.442627081;69507424
janv-19;2;1.401949972;69507424
f‚vr-19;1;1.359605791;69507424
mars-19;3;1.976613415;69507424
avr-19;1;1.27192197;69507424
mai-19;2;1.227452485;69507424
juin-19;4;2.44060623;69507424
juil-19;5;4.392560824;69507424
ao–t-19;3;1.755928251;69507424
nov-18;1;1.203785739;69507473
d‚c-18;2;1.247389946;69507473
janv-19;4;0.600618998;69507473
f‚vr-19;8;6.382912465;69507473
mars-19;2;1.230192264;69507473
avr-19;3;1.164503075;69507473
mai-19;2;1.065051321;69507473
juin-19;5;0.262525536;69507473
juil-19;4;0.092696876;69507473
ao–t-19;8;5.674779567;69507473
nov-18;226;141.4205255;69594910
d‚c-18;485;140.0729725;69594910
janv-19;175;124.6376016;69594910
f‚vr-19;155;111.2741398;69594910
mars-19;155;113.2111269;69594910
avr-19;125;116.2830454;69594910
mai-19;126;120.4520342;69594910
juin-19;192;144.3982834;69594910
juil-19;141;133.7006722;69594910
ao–t-19;87;144.9261409;69594910
nov-18;1;1.976189408;69601980
d‚c-18;4;5.143939326;69601980
janv-19;4;5.115722708;69601980
f‚vr-19;5;5.878126141;69601980
mars-19;1;1.927528435;69601980
avr-19;5;5.795622209;69601980
mai-19;3;3.423608121;69601980
juin-19;1;1.714826068;69601980
juil-19;6;5.650940723;69601980
ao–t-19;4;4.804565882;69601980
nov-18;2;-0.599649466;69604535
d‚c-18;2;-0.869307373;69604535
janv-19;7;-3.512901184;69604535
f‚vr-19;6;-3.770691764;69604535
mars-19;11;-1.637208079;69604535
avr-19;13;-0.569676012;69604535
mai-19;19;4.005686728;69604535
juin-19;20;3.832119398;69604535
juil-19;14;-1.087791275;69604535
ao–t-19;4;-2.492193616;69604535
nov-18;192;241.413879;69654263
d‚c-18;186;240.6592293;69654263
janv-19;272;353.9668759;69654263
f‚vr-19;234;264.2128194;69654263
mars-19;145;259.2825696;69654263
avr-19;123;165.4213798;69654263
mai-19;160;257.3541312;69654263
juin-19;208;260.3904022;69654263
juil-19;229;234.181115;69654263
ao–t-19;185;233.2845398;69654263
nov-18;167;168.2475601;69725145
d‚c-18;168;167.8472848;69725145
janv-19;178;182.683083;69725145
f‚vr-19;175;173.6777012;69725145
mars-19;143;140.7640687;69725145
avr-19;138;140.1317297;69725145
mai-19;184;190.7239294;69725145
juin-19;167;164.2851476;69725145
juil-19;165;163.6335216;69725145
ao–t-19;148;147.9476259;69725145
nov-18;4;3.033844939;69735624
d‚c-18;0;0.311589876;69735624
janv-19;0;0.154541962;69735624
f‚vr-19;4;2.974522648;69735624
mars-19;0;0.665877855;69735624
avr-19;0;0.281629624;69735624
mai-19;0;0.619604227;69735624
juin-19;1;0.74098907;69735624
juil-19;3;1.220725413;69735624
ao–t-19;3;1.531940467;69735624
nov-18;0;0.060906192;69735834
d‚c-18;0;0.057329679;69735834
janv-19;0;0.078845858;69735834
f‚vr-19;0;0.07521698;69735834
mars-19;0;0.071706581;69735834
avr-19;0;0.038348475;69735834
mai-19;1;1.29908422;69735834
juin-19;1;1.296395459;69735834
juil-19;0;0.030330194;69735834
ao–t-19;0;0.028450533;69735834
nov-18;0;0.518966031;69735841
d‚c-18;0;0.513001218;69735841
janv-19;0;0.453561831;69735841
f‚vr-19;0;0.554168056;69735841
mars-19;0;0.426792769;69735841
avr-19;0;0.409544986;69735841
mai-19;1;1.404762588;69735841
juin-19;0;0.368768122;69735841
juil-19;1;1.465187272;69735841
ao–t-19;1;1.448881418;69735841
nov-18;0;-0.083963276;69735855
d‚c-18;0;-0.00501335;69735855
janv-19;0;0.005174977;69735855
f‚vr-19;1;1.412276622;69735855
mars-19;0;-0.101519447;69735855
avr-19;2;1.754578311;69735855
mai-19;3;2.102405493;69735855
juin-19;0;-0.096709058;69735855
juil-19;-1;-0.037705724;69735855
ao–t-19;0;-0.084175376;69735855
nov-18;35;45.04698049;69739481
d‚c-18;39;44.98084788;69739481
janv-19;29;36.4770483;69739481
f‚vr-19;36;45.86291135;69739481
mars-19;30;36.61912507;69739481
avr-19;24;35.00709301;69739481
mai-19;36;45.49403009;69739481
juin-19;27;34.64973814;69739481
juil-19;25;34.99360227;69739481
ao–t-19;27;35.39287556;69739481
nov-18;38;40.80971196;69780921
d‚c-18;50;61.5414886;69780921
janv-19;116;61.48202112;69780921
f‚vr-19;105;61.40716764;69780921
mars-19;117;61.31960139;69780921
avr-19;145;61.22233183;69780921
mai-19;135;61.11860509;69780921
juin-19;131;61.01179878;69780921
juil-19;122;60.9053146;69780921
ao–t-19;95;60.80247204;69780921
nov-18;110;127.1438164;69967135
d‚c-18;98;119.8506746;69967135
janv-19;112;129.6998318;69967135
f‚vr-19;130;129.8058208;69967135
mars-19;132;121.376968;69967135
avr-19;82;129.6078354;69967135
mai-19;102;128.5036242;69967135
juin-19;83;118.8666829;69967135
juil-19;75;123.1072104;69967135
ao–t-19;94;120.8775197;69967135
nov-18;8;9.358061841;69967156
d‚c-18;7;9.425922755;69967156
janv-19;9;9.473268614;69967156
f‚vr-19;11;11.32008056;69967156
mars-19;9;9.501493505;69967156
avr-19;5;9.481560846;69967156
mai-19;6;9.439508179;69967156
juin-19;4;9.376585958;69967156
juil-19;6;9.29465581;69967156
ao–t-19;5;9.196133653;69967156
nov-18;5;6.762081689;69967184
d‚c-18;3;5.834225467;69967184
janv-19;1;3.633380133;69967184
f‚vr-19;1;3.582493285;69967184
mars-19;2;4.104187438;69967184
avr-19;2;4.217040435;69967184
mai-19;1;3.453315784;69967184
juin-19;2;3.712489936;69967184
juil-19;0;3.206564239;69967184
ao–t-19;0;3.143804359;69967184
nov-18;0;-0.827679558;69967240
d‚c-18;1;-0.186948867;69967240
janv-19;0;-0.855608588;69967240
f‚vr-19;0;-0.853764988;69967240
mars-19;3;0.743716382;69967240
